week,n_medicine
01-05-2010,54
08-05-2010,25
15-05-2010,41
22-05-2010,22
29-05-2010,25
05-06-2010,51
12-06-2010,19
19-06-2010,0
26-06-2010,23
03-07-2010,0
10-07-2010,20
17-07-2010,29
24-07-2010,30
31-07-2010,68
07-08-2010,31
14-08-2010,22
21-08-2010,13
28-08-2010,27
04-09-2010,16
11-09-2010,15
18-09-2010,72
25-09-2010,46
02-10-2010,48
09-10-2010,19
16-10-2010,22
23-10-2010,94
30-10-2010,65
06-11-2010,63
13-11-2010,50
20-11-2010,46
27-11-2010,54
04-12-2010,68
11-12-2010,62
18-12-2010,20
25-12-2010,22
01-01-2011,23
08-01-2011,38
15-01-2011,40
22-01-2011,37
29-01-2011,31
05-02-2011,25
12-02-2011,37
19-02-2011,51
26-02-2011,49
05-03-2011,24
12-03-2011,30
19-03-2011,51
26-03-2011,48
02-04-2011,31
09-04-2011,10
16-04-2011,21
23-04-2011,34
